# k a b c N
2.0 4.0 4.0 6.0 12
# x y z  e1x e1y e1z  e2x e2y e2z
0.144824076758746 -0.372489206572753 0.916666666666667 0 -0.926433667345805 -0.3764580454821 0.989457420403211 0.054520188875347 -0.134169900551575
-0.593166082003283 0.292667044883557 0.75 0 -0.931584300287008 0.36352536563322 0.805080119715345 0.215630916841468 0.552584209457015
0.779860994128962 0.227022140018126 0.583333333333333 0 -0.931912743884143 0.362682557874415 0.625952737701647 -0.282841980137176 -0.726762398886936
-0.471964217316804 -0.776941868135207 0.416666666666667 0 -0.472616037945213 -0.881268449836353 0.881617704888313 -0.415927174173008 0.223057858440181
-0.188316278001669 0.949756273703732 0.25 0 -0.254554375990217 0.96705846238179 0.982108435682943 0.182112850245756 0.0479367326355152
0.803200180475159 -0.589851698005716 0.0833333333333334 0 -0.13988928001846 -0.990167152220228 0.595709216048125 0.795302435363862 -0.112359094957367
-0.990693913005813 -0.107615641469005 -0.0833333333333333 -0.0838201124541902 0 0.996480902349948 -0.107236931518002 0.994192573755816 -0.00902035516976179
0.639148350664175 0.727316565082403 -0.25 -0 0.325062245290426 0.945692622730423 0.769083471310667 -0.604437880053428 0.207762997940569
0.0187841885650258 -0.908865250270271 -0.416666666666667 0 0.416740195654708 -0.909025637331355 0.999823561564716 0.0170753089820749 0.00782812641780377
-0.560913852056972 0.587450315169574 -0.583333333333333 -0 0.704615931441359 0.709588887426393 0.827874175566921 0.398018236223159 -0.395228836325484
0.65995941847615 -0.0441991624877824 -0.75 0 0.998268007033598 -0.0588301464656436 0.751301248478013 0.0388255092503329 0.658816373405239
-0.312072326756662 -0.249665947007007 -0.916666666666667 0 0.964853021370487 -0.262790119966947 0.950058347088579 -0.0820095241867473 -0.301103927357283
